DEBUG:root:{'pid': 95179, 'executed': '1552425006.961926', 'result': 1022022875.1550983, 'completed': '1552425025.8249128', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 92, 'scheduled': '1552425006.847958', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95102, 'executed': '1552425006.824204', 'result': 945296169.8658686, 'completed': '1552425025.839037', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 15, 'scheduled': '1552425006.764435', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95147, 'executed': '1552425006.9184132', 'result': 938201460.8428746, 'completed': '1552425025.85233', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 60, 'scheduled': '1552425006.8152199', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95108, 'executed': '1552425006.8539689', 'result': 981644541.8894753, 'completed': '1552425025.8881578', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 21, 'scheduled': '1552425006.765142', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95118, 'executed': '1552425006.870265', 'result': 961144907.1688282, 'completed': '1552425025.888464', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 31, 'scheduled': '1552425006.766222', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95123, 'executed': '1552425006.877304', 'result': 943634808.8086724, 'completed': '1552425025.8901172', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 36, 'scheduled': '1552425006.767336', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95163, 'executed': '1552425006.939383', 'result': 984723674.084992, 'completed': '1552425025.89296', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 76, 'scheduled': '1552425006.8393018', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95185, 'executed': '1552425006.9706612', 'result': 995602994.0150592, 'completed': '1552425025.8905349', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 98, 'scheduled': '1552425006.848456', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95160, 'executed': '1552425006.93734', 'result': 946663803.693785, 'completed': '1552425025.8921971', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 73, 'scheduled': '1552425006.835674', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95153, 'executed': '1552425006.928051', 'result': 938077208.6744437, 'completed': '1552425025.9087622', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 66, 'scheduled': '1552425006.8339021', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95146, 'executed': '1552425006.918066', 'result': 954239231.9747604, 'completed': '1552425025.911422', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 59, 'scheduled': '1552425006.8076', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95136, 'executed': '1552425006.8985431', 'result': 952192751.89204, 'completed': '1552425025.916907', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 49, 'scheduled': '1552425006.7765682', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95126, 'executed': '1552425006.883465', 'result': 942731900.5972056, 'completed': '1552425025.942742', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 39, 'scheduled': '1552425006.7676', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95139, 'executed': '1552425006.904705', 'result': 1002290713.2637886, 'completed': '1552425025.9505029', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 52, 'scheduled': '1552425006.79087', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 95178, 'executed': '1552425006.960906', 'result': 964776915.9110057, 'completed': '1552425025.953503', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '288bf2e6-9538-4ea8-a76e-818a1d254047', 'task_id': 91, 'scheduled': '1552425006.847873', 'worker_id': 'd6ecc32b-27c8-4f82-bf36-8c131d17b074', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
