DEBUG:root:{'pid': 92712, 'executed': '1552417165.481071', 'result': 11965939282.525814, 'completed': '1552417166.983273', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 33, 'scheduled': '1552417160.956557', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92714, 'executed': '1552417165.486795', 'result': 12032408441.924397, 'completed': '1552417166.999561', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 34, 'scheduled': '1552417160.956704', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92718, 'executed': '1552417165.493215', 'result': 12135004161.830372, 'completed': '1552417167.015599', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 35, 'scheduled': '1552417160.956825', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92720, 'executed': '1552417165.519419', 'result': 12394099076.281628, 'completed': '1552417167.0161679', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 38, 'scheduled': '1552417160.9573069', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92719, 'executed': '1552417165.522857', 'result': 12509862138.300907, 'completed': '1552417167.016254', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 39, 'scheduled': '1552417160.9575539', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92713, 'executed': '1552417165.5055768', 'result': 11997459576.80619, 'completed': '1552417167.043419', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 37, 'scheduled': '1552417160.95711', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92717, 'executed': '1552417165.5265238', 'result': 12447123702.548367, 'completed': '1552417167.048151', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 40, 'scheduled': '1552417160.95769', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92711, 'executed': '1552417165.9222221', 'result': 13216380061.551565, 'completed': '1552417167.3795252', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 41, 'scheduled': '1552417160.9578218', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92715, 'executed': '1552417166.950128', 'result': 11519940111.885588, 'completed': '1552417168.5029929', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 42, 'scheduled': '1552417160.957937', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92712, 'executed': '1552417166.984185', 'result': 11560806568.529898, 'completed': '1552417168.5339599', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 43, 'scheduled': '1552417160.958056', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92716, 'executed': '1552417166.999818', 'result': 11410583319.109682, 'completed': '1552417168.5360498', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 44, 'scheduled': '1552417160.9581718', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92714, 'executed': '1552417166.999895', 'result': 12013130866.796162, 'completed': '1552417168.537225', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 45, 'scheduled': '1552417160.959393', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92717, 'executed': '1552417167.048403', 'result': 11887349504.021961, 'completed': '1552417168.584414', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 50, 'scheduled': '1552417160.960643', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92720, 'executed': '1552417167.0166578', 'result': 11730629007.680016, 'completed': '1552417168.587471', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 47, 'scheduled': '1552417160.959647', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92713, 'executed': '1552417167.0445771', 'result': 11871965333.548605, 'completed': '1552417168.589107', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 49, 'scheduled': '1552417160.95985', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92718, 'executed': '1552417167.015858', 'result': 11504496025.72775, 'completed': '1552417168.621536', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 46, 'scheduled': '1552417160.959538', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92719, 'executed': '1552417167.0176299', 'result': 11947745527.724295, 'completed': '1552417168.622714', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 48, 'scheduled': '1552417160.9597492', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92711, 'executed': '1552417167.381365', 'result': 12113282649.15678, 'completed': '1552417168.888536', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 51, 'scheduled': '1552417160.960804', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92715, 'executed': '1552417168.503726', 'result': 11945919292.545858, 'completed': '1552417170.027919', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 52, 'scheduled': '1552417160.960918', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92712, 'executed': '1552417168.534202', 'result': 11616238327.826145, 'completed': '1552417170.083286', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 53, 'scheduled': '1552417160.961056', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92716, 'executed': '1552417168.53634', 'result': 11303050943.376339, 'completed': '1552417170.120055', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 54, 'scheduled': '1552417160.961185', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92714, 'executed': '1552417168.537458', 'result': 11075420512.364882, 'completed': '1552417170.130975', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 55, 'scheduled': '1552417160.961323', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92713, 'executed': '1552417168.591445', 'result': 12207300303.842148, 'completed': '1552417170.148075', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 58, 'scheduled': '1552417160.961799', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92720, 'executed': '1552417168.5893161', 'result': 11412723098.85385, 'completed': '1552417170.166385', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 57, 'scheduled': '1552417160.9616199', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92717, 'executed': '1552417168.584717', 'result': 11752150520.934471, 'completed': '1552417170.179241', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 56, 'scheduled': '1552417160.961452', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
DEBUG:root:{'pid': 92718, 'executed': '1552417168.621851', 'result': 11627173517.86958, 'completed': '1552417170.215276', 'function': 'example_compute.compute_flops', 'params': [1, 2048], 'resources': 1, 'dispatcher_id': '5f8c04b4-61ec-4b12-88a4-a00ac9336d5f', 'task_id': 59, 'scheduled': '1552417160.961963', 'worker_id': 'e617393e-c39e-4a94-a2ef-91002ef68332', 'worker_hostname': 'nbp-25-98-190.nbp.ruw.rutgers.edu'}
